0003-003	$	00:06:22.1399	-00:04:38.4575
0003-066	$	00:06:13.6800	-06:23:35.5187
0010+405	$	00:13:31.1302	+40:51:37.1444
0007+106	$	00:10:31.06861	+10:58:29.4480
0009+081	$	00:11:35.3875	+08:23:10.9784
0010+005	$	00:13:10.6817	+00:51:27.7843
0014+813	$	00:17:08.2988	+81:35:06.6314
0016+731	$	00:19:45.78675	+73:27:30.0189
0019-000	4C+00.02	00:22:25.428	+00:14:56.14
0025+345	$	00:27:57.9599	+35:02:37.3179
0026+346	$	00:29:14.24348	+34:56:32.2542
0035+130	$	00:37:44.7876	+13:19:39.2540
0045-255	NGC253	00:47:33.20399	-25:17:17.0942
0048-097	$	00:50:41.31739	-09:29:05.2320
0056-001	$	00:59:05.5139	+00:06:51.660
0106+013	$	01:08:38.77104	+01:35:00.3232
0108+388	S4_0108+38	01:11:37.3212	+39:06:28.0995
0111+021	$	01:13:43.14517	+02:22:17.3154
0113+328	MK1	01:16:07.3196	+33:05:21.4882
0114+065	UV_PSC	01:16:54.2816	+06:48:42.8233
0116+319	4C+31.04	01:19:34.9980	+32:10:50.040
0119+041	PKS0119+041	01:21:56.862052	+04:22:24.75323
0119+115	PKS0119+115	01:21:41.58432	+11:49:50.4112
0125+628	$	01:28:30.60857	+63:06:30.2144
0133+476	DA55	01:36:58.59526	+47:51:29.1017
0138-097	PKS0138-097	01:41:25.8002	-09:28:43.6798
0153+744	S5_0153+74	01:57:34.8057	+74:42:43.1400
0201+088	$	02:04:34.6246	+09:03:53.1570
0201+645	3C58	02:05:37.3291	+64:49:42.4334
0202+149	4C+15.05	02:04:50.41402	+15:14:11.0453
0202+319	B2_0202+31	02:05:04.92520	+32:12:30.1028
0202-172	PKS0202-172	02:04:57.676	-17:01:19.78
0211+171	$	02:14:44.6174	+17:22:40.1206
0212+735	S5_0212+73	02:17:30.81339	+73:49:32.6233
0218+357	S4_0218+357	02:21:05.472	+35:56:13.8
0223+616	W3	02:27:04.73315	+61:52:25.4954
0224+671	4C+67.05	02:28:50.05172	+67:21:03.0310
0229+131	4C+13.14	02:31:45.89392	+13:22:54.7206
